Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
TRUE,the Democratic Party,TRUE,NA,NA,NA,"The ""supply chain crisis""","Vaccine mandates/mask mandates/ other COVID policies, particularly in schools","Critical race theory teaching in schools/Cancel Culture/""wokeness""",2,2,3,3,5,5,4,5,2,3,3,2,5,5,4,5,Man,TRUE,1,TRUE,5,5,4,5,4.75,2,2,3,3,2.5,5,5,4,5,4.75,2,3,3,2,2.5,3,3,1,2,2.25,3,2,1,3,2.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,Joe Biden and his performance,Gun control,COVID policies,2,2,3,3,6,5,5,6,3,4,3,3,5,6,4,6,Man,FALSE,3,TRUE,6,5,5,6,5.5,2,2,3,3,2.5,5,6,4,6,5.25,3,4,3,3,3.25,4,3,2,3,3,2,2,1,3,2
FALSE,the Democratic Party,TRUE,"Trees and sunlight, green spaces (lawns, parks, gardens)",Rivers and water,people that look happy and are enjoying the outdoors,NA,NA,NA,2,2,3,3,6,4,5,5,2,4,1,2,1,4,4,4,Woman,TRUE,2,FALSE,6,4,5,5,5,2,2,3,3,2.5,1,4,4,4,3.25,2,4,1,2,2.25,4,2,2,2,2.5,-1,0,3,2,1
FALSE,the Democratic Party,FALSE,I imagine dozens of trees passing by the window,"I can see a massive lake spanning miles, with maybe some lone small boat passing by","I can see birds flying adjacent the bus, ducking and diving through the wild",NA,NA,NA,3,3,3,3,5,5,5,5,2,3,2,3,5,4,6,5,Man,TRUE,4,TRUE,5,5,5,5,5,3,3,3,3,3,5,4,6,5,5,2,3,2,3,2.5,2,2,2,2,2,3,1,4,2,2.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,I genuinely don't think i'd be comfortable talking about politics originally so probably just where they were from and what they were interested in,i'm absolutely bringing up my fantasy bachelorette team and encouraging them to talk about something niche they're interested in,"If we talked politics I'm into engaging if they create the topic, but I will be politely asking about their beliefs and why they hold them, and respectfully sharing mine",1,1,1,5,3,5,5,3,2,2,3,1,5,5,4,5,Woman,FALSE,2,TRUE,3,5,5,3,4,1,1,1,5,2,5,5,4,5,4.75,2,2,3,1,2,2,4,4,-2,2,3,3,1,4,2.75
FALSE,the Democratic Party,TRUE,"I see a body of water, with kayaks and sailboats floating on it.","In the distance, I see lots of green, with trees, gardens, and lots of nature.","I see the parts of some city, with tall skyscrapers, renovated buildings, and nice restaurants and seating areas.",NA,NA,NA,6,6,6,6,7,7,7,7,2,6,6,6,6,6,6,6,Woman,FALSE,3,TRUE,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,2,6,6,6,5,1,1,1,1,1,4,0,0,0,1
TRUE,the Democratic Party,FALSE,NA,NA,NA,"We would talk about where we're going/what we're doing after this trip. I imagine it might be around a holiday or other eventful time of year, so we would discuss our destinations, maybe including our families/family lives, if one of us were going home.","We would talk about what we both do for school and/or work - where we attend(ed), our fields of interest, etc.","We would talk about our hometowns/where we're from, what we miss about them, what it was like to grow up there.",2,2,3,2,5,5,5,6,2,4,3,2,5,5,4,6,NA,NA,NA,NA,5,5,5,6,5.25,2,2,3,2,2.25,5,5,4,6,5,2,4,3,2,2.75,3,3,2,4,3,3,1,1,4,2.25
FALSE,the Democratic Party,FALSE,fall foilage,green rolling hills and trees,ponds and rivers,NA,NA,NA,4,3,3,4,5,5,4,4,2,4,4,3,6,5,3,5,Man,FALSE,4,TRUE,5,5,4,4,4.5,4,3,3,4,3.5,6,5,3,5,4.75,2,4,4,3,3.25,1,2,1,0,1,4,1,-1,2,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,origins,school,ancestry,3,3,4,5,4,4,4,5,3,4,5,4,5,4,4,4,Woman,FALSE,3,FALSE,4,4,4,5,4.25,3,3,4,5,3.75,5,4,4,4,4.25,3,4,5,4,4,1,1,0,0,0.5,2,0,-1,0,0.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,Career,Family,School,4,4,4,5,6,4,4,5,2,4,5,5,2,5,4,5,Man,TRUE,3,FALSE,6,4,4,5,4.75,4,4,4,5,4.25,2,5,4,5,4,2,4,5,5,4,2,0,0,0,0.5,0,1,-1,0,0
TRUE,the Democratic Party,FALSE,NA,NA,NA,Our destinations,Work,The weather,2,3,2,2,6,5,5,6,2,2,3,3,6,6,6,6,Woman,FALSE,4,TRUE,6,5,5,6,5.5,2,3,2,2,2.25,6,6,6,6,6,2,2,3,3,2.5,4,2,3,4,3.25,4,4,3,3,3.5
FALSE,the Democratic Party,FALSE,Trees,Ocean,Leaves,NA,NA,NA,3,3,3,3,3,3,3,4,3,3,3,3,3,5,4,5,Man,TRUE,4,TRUE,3,3,3,4,3.25,3,3,3,3,3,3,5,4,5,4.25,3,3,3,3,3,0,0,0,1,0.25,0,2,1,2,1.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,their/my occupation,school,"where I'm from/where they're from
",2,3,3,2,5,5,5,6,3,3,2,3,4,4,2,5,Man,FALSE,3,TRUE,5,5,5,6,5.25,2,3,3,2,2.5,4,4,2,5,3.75,3,3,2,3,2.75,3,2,2,4,2.75,1,1,0,2,1
FALSE,the Democratic Party,FALSE,Fall leaves,Beautiful trees,Small towns,NA,NA,NA,3,3,4,4,4,4,4,4,3,4,4,4,5,4,4,4,Woman,FALSE,2,TRUE,4,4,4,4,4,3,3,4,4,3.5,5,4,4,4,4.25,3,4,4,4,3.75,1,1,0,0,0.5,2,0,0,0,0.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,where they're going,what they're doing,the stickers,1,1,1,1,6,6,6,6,2,3,2,1,4,5,5,5,Woman,FALSE,1,TRUE,6,6,6,6,6,1,1,1,1,1,4,5,5,5,4.75,2,3,2,1,2,5,5,5,5,5,2,2,3,4,2.75
FALSE,the Democratic Party,FALSE,The Atlantic Ocean,Trees on either side of the highway,Other cars also taking in the scenery,NA,NA,NA,3,3,5,5,5,5,5,5,3,3,3,3,5,5,4,6,Man,TRUE,4,FALSE,5,5,5,5,5,3,3,5,5,4,5,5,4,6,5,3,3,3,3,3,2,2,0,0,1,2,2,1,3,2
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where we are going and why,What we do/where we go to school,Netflix shows/hobbies,3,3,3,3,5,5,5,5,4,4,4,5,6,5,4,5,Woman,TRUE,4,FALSE,5,5,5,5,5,3,3,3,3,3,6,5,4,5,5,4,4,4,5,4.25,2,2,2,2,2,2,1,0,0,0.75
FALSE,the Democratic Party,TRUE,bright orange and yellow trees with leaves falling down,"cute houses with tons of flowers / greenery outside of them, nice fences, maybe even children playing in the yard",forests covering hills in the distance with blue skies behind them so that if you look in any direction all you see is hills covered in trees,NA,NA,NA,2,2,3,4,7,7,6,6,2,3,4,3,7,6,3,5,Woman,TRUE,3,TRUE,7,7,6,6,6.5,2,2,3,4,2.75,7,6,3,5,5.25,2,3,4,3,3,5,5,3,2,3.75,5,3,-1,2,2.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,personal/family background - try to get to know them,"voting for Trump, do you agree with his policies/why?","the insurrection, what happened?",2,2,4,3,6,7,6,6,3,3,2,2,6,6,4,6,Woman,TRUE,2,TRUE,6,7,6,6,6.25,2,2,4,3,2.75,6,6,4,6,5.5,3,3,2,2,2.5,4,5,2,3,3.5,3,3,2,4,3
FALSE,the Democratic Party,TRUE,Grassy fields,Fall leaves,Old historic homes,NA,NA,NA,2,1,3,4,6,7,5,5,2,3,2,3,5,6,4,5,Man,TRUE,3,TRUE,6,7,5,5,5.75,2,1,3,4,2.5,5,6,4,5,5,2,3,2,3,2.5,4,6,2,1,3.25,3,3,2,2,2.5
FALSE,the Democratic Party,FALSE,trees,mountains,blue sky,NA,NA,NA,3,3,4,3,5,4,3,4,6,4,3,4,6,6,4,5,Woman,TRUE,3,TRUE,5,4,3,4,4,3,3,4,3,3.25,6,6,4,5,5.25,6,4,3,4,4.25,2,1,-1,1,0.75,0,2,1,1,1
FALSE,the Democratic Party,TRUE,"Green, grassy hills",Fall foliage,rivers and ponds,NA,NA,NA,1,4,1,1,7,5,7,7,1,1,1,1,3,6,6,6,Woman,FALSE,3,TRUE,7,5,7,7,6.5,1,4,1,1,1.75,3,6,6,6,5.25,1,1,1,1,1,6,1,6,6,4.75,2,5,5,5,4.25
FALSE,the Democratic Party,TRUE,trees turning color,green hills off in the distance,large open ponds and lakes,NA,NA,NA,5,4,6,6,6,6,5,5,3,5,5,4,6,5,4,5,Woman,TRUE,4,TRUE,6,6,5,5,5.5,5,4,6,6,5.25,6,5,4,5,5,3,5,5,4,4.25,1,2,-1,-1,0.25,3,0,-1,1,0.75
FALSE,the Democratic Party,FALSE,Trees changing colors,Houses,Pretty sky,NA,NA,NA,1,3,2,1,5,5,5,6,6,2,2,3,6,6,5,5,NA,NA,NA,NA,5,5,5,6,5.25,1,3,2,1,1.75,6,6,5,5,5.5,6,2,2,3,3.25,4,2,3,5,3.5,0,4,3,2,2.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,The weather (a natural conversation starter),Where they are from and where they are going. Possibly ask what sort of business they are on if they seem friendly and open to conversation.,"Ask about their background - school, family, etc.",6,6,4,5,6,6,5,5,3,5,4,5,6,6,4,5,Woman,TRUE,4,TRUE,6,6,5,5,5.5,6,6,4,5,5.25,6,6,4,5,5.25,3,5,4,5,4.25,0,0,1,0,0.25,3,1,0,0,1
FALSE,the Democratic Party,FALSE,Trees,Open green space,"Farm animals
Farm animals",NA,NA,NA,3,5,3,3,3,4,5,5,3,4,3,4,2,6,3,5,Woman,FALSE,3,TRUE,3,4,5,5,4.25,3,5,3,3,3.5,2,6,3,5,4,3,4,3,4,3.5,0,-1,2,2,0.75,-1,2,0,1,0.5
FALSE,the Democratic Party,TRUE,fall leaves,"wispy clouds, blue skies",reflective windows on buildings,NA,NA,NA,3,3,4,4,6,6,6,6,2,3,2,3,6,6,5,6,Woman,FALSE,2,FALSE,6,6,6,6,6,3,3,4,4,3.5,6,6,5,6,5.75,2,3,2,3,2.5,3,3,2,2,2.5,4,3,3,3,3.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where they’re going,What they do,Where they’re from,NA,4,4,NA,3,3,4,4,2,4,2,3,6,5,2,5,Man,TRUE,2,TRUE,3,3,4,4,3.5,NA,4,4,NA,NA,6,5,2,5,4.5,2,4,2,3,2.75,NA,-1,0,NA,NA,4,1,0,2,1.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where they're from,Education/work,Life experiences,4,3,3,3,5,5,5,5,2,3,2,5,6,5,5,5,Man,TRUE,3,TRUE,5,5,5,5,5,4,3,3,3,3.25,6,5,5,5,5.25,2,3,2,5,3,1,2,2,2,1.75,4,2,3,0,2.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,"ask about one of the non-political stickers on their laptop (if there aren't any, that's rather concerning, a major Red Flag)","where they're from - since I'm from the South, I should be able to find some commonalities","find out if they're a Trump supporter, and if so, why",3,2,2,3,7,7,6,7,2,3,2,2,7,5,3,6,Woman,FALSE,2,TRUE,7,7,6,7,6.75,3,2,2,3,2.5,7,5,3,6,5.25,2,3,2,2,2.25,4,5,4,4,4.25,5,2,1,4,3
FALSE,the Democratic Party,TRUE,"I see a beautiful forest, dark green pines rising high above the bus, almost overtaking the road in their verdant majesty. They're old and strong, and seem impenetrable — you cannot see through even to the second layer of brush.","I see gorgeous seaside bluffs, silver-grey stone jutting out over the sea. There's a lighthouse atop the cliff, a shining beacon to wind-tossed ships in the foggy Atlantic beyond. The cliff too is densely forested, but at the same time, there's a strange sort of nakedness to it, the earth's mineral beauty exposed.","I see a schoolhouse, built from red brick, carelessly tossed alongside the winding road. Long-abandoned, there are battered grey wooden fences and overturned desks outside of it. Forest growth largely blocks the view to the classroom, but most of the windows are shattered, and it's clear animals have made the place their home. A single owl peers out from the belltower window.",NA,NA,NA,2,2,2,1,5,6,5,5,1,3,3,2,6,5,5,6,Man,FALSE,2,TRUE,5,6,5,5,5.25,2,2,2,1,1.75,6,5,5,6,5.5,1,3,3,2,2.25,3,4,3,4,3.5,5,2,2,4,3.25
TRUE,the Republican Party,FALSE,NA,NA,NA,Biden's economic policy proposals and the current state of the economy,Race and discrimination,"Immigration, the southern border, and the future of the country",6,7,5,5,1,2,1,1,4,7,7,6,1,5,1,3,Man,TRUE,3,FALSE,6,7,5,5,5.75,1,2,1,1,1.25,4,7,7,6,6,1,5,1,3,2.5,5,5,4,4,4.5,3,2,6,3,3.5
FALSE,the Republican Party,FALSE,body of water,hills with fall foliage,open fields,NA,NA,NA,5,5,4,5,5,3,4,5,3,5,3,3,5,5,5,5,Man,TRUE,1,TRUE,5,5,4,5,4.75,5,3,4,5,4.25,3,5,3,3,3.5,5,5,5,5,5,0,2,0,0,0.5,-2,0,-2,-2,-1.5
FALSE,the Republican Party,FALSE,"I imagine seen Autumn leaves on trees in shades of orange, yellow, and red. The leaves would fall crisply as the bus passed by.","I imagine seeing a scenic body of water. Be it a river, lake, or pond. The water would be still and reflective.",I imagine seeing birds fly past us as the bus continued to move on. The birds would caw and circle overhead,NA,NA,NA,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,Woman,TRUE,2,TRUE,3,4,4,4,3.75,3,4,4,4,3.75,3,4,4,4,3.75,3,3,3,4,3.25,0,0,0,0,0,0,1,1,0,0.5
FALSE,the Democratic Party,FALSE,Forest and Fall foliage,Blue Sky and sunrise/sunset,Highway,NA,NA,NA,2,1,1,2,6,3,5,3,1,5,3,3,2,5,3,5,Man,FALSE,3,TRUE,6,3,5,3,4.25,2,1,1,2,1.5,2,5,3,5,3.75,1,5,3,3,3,4,2,4,1,2.75,1,0,0,2,0.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,"Travel
",Weather,Food,4,3,4,4,5,6,6,5,4,4,3,4,6,4,5,6,Man,TRUE,NA,FALSE,5,6,6,5,5.5,4,3,4,4,3.75,6,4,5,6,5.25,4,4,3,4,3.75,1,3,2,1,1.75,2,0,2,2,1.5
FALSE,the Democratic Party,FALSE,Fall foliage,People biking on trails,Cars passing,NA,NA,NA,3,3,3,5,4,5,4,4,3,5,3,3,6,5,5,6,Man,TRUE,2,TRUE,4,5,4,4,4.25,3,3,3,5,3.5,6,5,5,6,5.5,3,5,3,3,3.5,1,2,1,-1,0.75,3,0,2,3,2
FALSE,the Democratic Party,TRUE,winding roads with colorful trees lined along the street,leaves falling and swirling around in the wind,"large, rolling fields with grass swaying peacefully",NA,NA,NA,2,3,2,2,6,6,5,6,2,3,3,5,6,5,4,5,Woman,TRUE,2,TRUE,6,6,5,6,5.75,2,3,2,2,2.25,6,5,4,5,5,2,3,3,5,3.25,4,3,3,4,3.5,4,2,1,0,1.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,"Education - where we go/went to school, what do we study",Trip details - where we are traveling and why,The weather and our reactions to it.,2,5,3,3,3,3,4,4,2,4,2,4,4,4,3,4,Man,TRUE,3,TRUE,3,3,4,4,3.5,2,5,3,3,3.25,4,4,3,4,3.75,2,4,2,4,3,1,-2,1,1,0.25,2,0,1,0,0.75
FALSE,the Democratic Party,FALSE,trees,lake,houses,NA,NA,NA,1,1,1,1,6,5,5,5,2,3,3,4,5,6,4,5,Man,TRUE,3,FALSE,6,5,5,5,5.25,1,1,1,1,1,5,6,4,5,5,2,3,3,4,3,5,4,4,4,4.25,3,3,1,1,2
TRUE,the Democratic Party,FALSE,NA,NA,NA,Midterm elections 2022,Situation of Republican party post-Trump,EU perspective on US politics,4,2,4,3,4,5,4,4,3,4,4,3,5,5,3,5,Man,TRUE,NA,FALSE,4,5,4,4,4.25,4,2,4,3,3.25,5,5,3,5,4.5,3,4,4,3,3.5,0,3,0,1,1,2,1,-1,2,1
FALSE,the Democratic Party,TRUE,Rainbows,Mountains,Horses,NA,NA,NA,3,3,2,2,6,6,6,6,1,2,2,2,6,6,6,6,Woman,FALSE,3,TRUE,6,6,6,6,6,3,3,2,2,2.5,6,6,6,6,6,1,2,2,2,1.75,3,3,4,4,3.5,5,4,4,4,4.25
FALSE,the Democratic Party,FALSE,"Historic sites and old brick buildings, old town charm",Upscale shops and restaurants in the North End and on Boylston St.,"Boston Commons and greenery; people playing with pets, enjoying the fall foliage, and sipping coffee",NA,NA,NA,3,2,6,6,5,5,2,2,3,6,6,3,5,5,3,6,Man,TRUE,3,TRUE,5,5,2,2,3.5,3,2,6,6,4.25,5,5,3,6,4.75,3,6,6,3,4.5,2,3,-4,-4,-0.75,2,-1,-3,3,0.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Their work,Their family,Where they’re headed,3,2,4,4,6,6,6,6,2,4,4,3,6,6,4,6,Man,TRUE,3,FALSE,6,6,6,6,6,3,2,4,4,3.25,6,6,4,6,5.5,2,4,4,3,3.25,3,4,2,2,2.75,4,2,0,3,2.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,President Joe Biden and Democrats generally,Critical race theory and “reverse racism”,Public school policies regarding masks & vaccines,1,1,3,2,6,7,6,7,2,2,3,1,6,7,4,7,NA,NA,NA,NA,6,7,6,7,6.5,1,1,3,2,1.75,6,7,4,7,6,2,2,3,1,2,5,6,3,5,4.75,4,5,1,6,4
TRUE,the Democratic Party,TRUE,NA,NA,NA,Weather,Other personal problems,"Wider issues (news, politics)",3,2,4,2,5,6,4,5,1,2,4,3,6,6,4,6,Woman,FALSE,2,FALSE,5,6,4,5,5,3,2,4,2,2.75,6,6,4,6,5.5,1,2,4,3,2.5,2,4,0,3,2.25,5,4,0,3,3
FALSE,the Democratic Party,TRUE,A forest in fall with colored leaves and foliage on the ground.,"A small, old cemetery in a forest",A stream with a small bridge over it and an old stone wall.,NA,NA,NA,1,2,3,3,7,6,6,6,2,4,4,4,6,7,3,5,Man,TRUE,3,TRUE,7,6,6,6,6.25,1,2,3,3,2.25,6,7,3,5,5.25,2,4,4,4,3.5,6,4,3,3,4,4,3,-1,1,1.75
