Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
1,1,1,23953,3.5,5,5,4,2.5,5.5,7,7,6.5,5,3,5,5,4,2,4,5,5,4,3,6,7,7,6,7,5,7,7,7,3
2,1,2,27409,1.5,4.5,3,1.5,2.5,1,6,6,1.5,3,1,5,2,2,1,2,4,4,1,4,1,6,6,1,4,1,6,6,2,2
3,2,4,39048,5,5,5,4.5,4.5,7,5.5,4.5,4.5,6,5,5,5,4,4,5,5,5,5,5,7,5,5,7,6,7,6,4,2,6
3,2,4,63212,1,2.5,4,2,3,1.5,4,6.5,3,3,1,2,3,2,1,1,3,5,2,5,1,3,7,3,3,2,5,6,3,3
2,1,2,36073,3.5,3,4.5,4,4,6,6,6.5,3,6.5,4,4,4,4,4,3,2,5,4,4,6,6,7,3,6,6,6,6,3,7
3,2,3,97453,3,4.5,3.5,2,3,5.5,6.5,5,4.5,4,2,5,2,3,2,4,4,5,1,4,5,7,7,3,6,6,6,3,6,2
3,2,3,42047,4.5,4,4.5,4,3,6,4.5,6.5,5.5,5,4,4,5,4,4,5,4,4,4,2,6,3,6,5,5,6,6,7,6,5
1,1,1,91567,3.5,4,4.5,4.5,2,5,5,6.5,6,3.5,3,4,4,4,1,4,4,5,5,3,4,5,6,6,5,6,5,7,6,2
1,1,1,91295,4,3,3,1.5,3,5.5,6,4,4.5,6,4,2,2,1,1,4,4,4,2,5,6,6,5,6,6,5,6,3,3,6
2,2,2,40631,2,3,4,2,1.5,3.5,4,4,4,4,2,2,4,2,1,2,4,4,2,2,2,3,3,5,6,5,5,5,3,2
3,2,2,36449,2,4.5,4,4,2,2.5,6,5.5,5.5,4,1,5,4,5,2,3,4,4,3,2,3,6,6,5,5,2,6,5,6,3
2,2,2,97438,4.5,2.5,3.5,2.5,2.5,6.5,4.5,4,4,6,5,4,3,3,1,4,1,4,2,4,6,3,6,2,7,7,6,2,6,5
2,2,2,66201,2,3.5,NA,4,3,5.5,4.5,5,6.5,4.5,3,5,NA,4,5,1,2,5,4,1,5,3,4,7,6,6,6,6,6,3
4,3,3,77166,2,2.5,4.5,2,3,2.5,2,6.5,2.5,5.5,2,3,5,2,1,2,2,4,2,5,3,2,6,2,5,2,2,7,3,6
2,1,1,17226,2,3,2.5,3.5,3.5,4,4,4.5,4.5,4.5,2,4,2,4,4,2,2,3,3,3,5,3,4,4,6,3,5,5,5,3
2,1,1,18275,2.5,2,4.5,1.5,4,3,4,6.5,3,5,2,2,4,2,4,3,2,5,1,4,4,2,7,1,5,2,6,6,5,5
1,1,2,96850,3,4,5,3,3.5,3.5,6.5,7,4.5,5.5,2,5,5,4,3,4,3,5,2,4,4,6,7,3,6,3,7,7,6,5
2,2,2,68202,4,3,2.5,2.5,4,5,3.5,3,3.5,6,4,4,2,3,4,4,2,3,2,4,6,2,3,3,6,4,5,3,4,6
2,2,2,42836,4,3.5,5,4,3,5.5,5,6,1.5,5,4,5,5,4,5,4,2,5,4,1,5,3,6,1,5,6,7,6,2,5
1,1,1,27735,3,2,3.5,4.5,5,2.5,3,5.5,4.5,3.5,2,2,3,5,5,4,2,4,4,5,2,3,5,3,3,3,3,6,6,4
2,2,2,21037,4,4.5,2,3,5,6,6,5,5,5.5,4,5,2,2,5,4,4,2,4,5,6,6,3,6,6,6,6,7,4,5
2,3,1,55581,4.5,4.5,5,4,2.5,6.5,6,5.5,6.5,6.5,4,5,5,4,1,5,4,5,4,4,7,5,6,7,6,6,7,5,6,7
1,1,1,40923,3,2.5,2.5,2,2.5,4,3,3,4,6,3,2,2,2,2,3,3,3,2,3,5,3,3,3,7,3,3,3,5,5
3,2,3,56649,2,3.5,4.5,4,3,2,6,7,6.5,5,1,4,4,5,2,3,3,5,3,4,3,7,7,6,7,1,5,7,7,3
2,2,2,88900,3,4,4,4,3,5.5,4.5,6.5,7,6,2,4,5,5,2,4,4,3,3,4,6,3,7,7,7,5,6,6,7,5
4,3,5,37408,4.5,3.5,4.5,2.5,4,7,3.5,7,4,5.5,4,4,4,3,4,5,3,5,2,4,7,2,7,3,7,7,5,7,5,4
2,3,2,94375,4,3.5,3,1.5,5,3,5,5,3,4.5,4,3,2,1,5,4,4,4,2,5,3,4,5,2,3,3,6,5,4,6
3,3,2,50029,4,2.5,4.5,3.5,4.5,5,5,6,4.5,6.5,4,3,5,4,5,4,2,4,3,4,5,4,5,4,7,5,6,7,5,6
3,2,4,46850,4,2.5,4.5,1,4.5,6,4,5,2,5,3,3,5,1,4,5,2,4,1,5,7,3,5,2,5,5,5,5,2,5
1,1,1,48504,4.5,4.5,2.5,4,4,6,4.5,6,5.5,6,5,5,3,4,4,4,4,2,4,4,5,3,7,6,6,7,6,5,5,6
4,4,4,97395,2,3,4.5,3,2.5,2,5.5,7,6,4,2,4,4,3,2,2,2,5,3,3,2,6,7,6,5,2,5,7,6,3
1,1,1,42992,2.5,3,3,1,4.5,3.5,6,2.5,1,6.5,1,4,3,1,5,4,2,3,1,4,3,6,2,1,7,4,6,3,1,6
2,2,3,43671,2.5,3.5,4.5,4,4,3,3,6.5,7,6,1,5,4,5,4,4,2,5,3,4,3,3,7,7,6,3,3,6,7,6
1,1,4,48023,4.5,4,4.5,2.5,4.5,6,4.5,5.5,5.5,6,4,4,4,3,5,5,4,5,2,4,6,4,6,6,6,6,5,5,5,6
3,3,3,51745,5,4.5,4.5,3,1.5,6.5,5.5,7,5.5,6.5,5,5,4,4,2,5,4,5,2,1,6,6,7,6,6,7,5,7,5,7
2,1,2,19375,4.5,3,2,3,5,6,3,2,2.5,6.5,4,4,2,2,5,5,2,2,4,5,6,3,3,3,7,6,3,1,2,6
2,2,3,59149,3,3,3,2.5,4.5,2.5,2.5,2,5,4.5,2,1,2,4,4,4,5,4,1,5,3,2,2,3,6,2,3,2,7,3
3,3,4,45081,4,2.5,3,1.5,2.5,5,5,6,4,4.5,4,4,2,2,2,4,1,4,1,3,5,5,6,3,6,5,5,6,5,3
3,2,4,81138,3.5,2,2.5,4,4.5,5,2,3,5,7,3,1,2,5,4,4,3,3,3,5,4,3,3,7,7,6,1,3,3,7
2,1,4,65947,5,4.5,5,2.5,4.5,7,5.5,6.5,4,6,5,4,5,1,5,5,5,5,4,4,7,6,6,4,6,7,5,7,4,6
3,1,3,97289,4.5,3,5,3.5,4.5,6,3,7,4.5,6,4,4,5,5,4,5,2,5,2,5,6,3,7,3,6,6,3,7,6,6
1,1,1,62531,2,3,2,2,3.5,4,6.5,3,3,5.5,2,4,2,2,3,2,2,2,2,4,3,6,3,3,6,5,7,3,3,5
3,2,3,62476,5,4,5,4.5,3,7,5.5,6.5,6,6,5,4,5,5,3,5,4,5,4,3,7,6,6,6,7,7,5,7,6,5
2,2,3,96542,2.5,2.5,4.5,2,4.5,3.5,4.5,7,4.5,6,1,4,4,3,5,4,1,5,1,4,5,2,7,2,6,2,7,7,7,6
1,1,1,12490,2,3.5,2.5,2,4.5,3,5,2.5,2,3.5,2,4,2,2,5,2,3,3,2,4,3,4,3,1,6,3,6,2,3,1
3,2,4,10068,1.5,2.5,2,5,3,2,4.5,4,4.5,4,1,2,1,5,2,2,3,3,5,4,2,3,6,2,5,2,6,2,7,3
3,2,4,41848,4,4,4,4,3.5,5.5,5.5,5.5,4,5.5,4,4,4,4,2,4,4,4,4,5,5,6,6,5,5,6,5,5,3,6
4,3,5,87824,4,4,2.5,3.5,4,5,4,6,6,5,4,5,1,4,4,4,3,4,3,4,5,3,6,6,4,5,5,6,6,6
2,2,1,72248,5,4.5,4,3.5,2.5,6.5,5.5,5.5,4,5,5,5,4,3,2,5,4,4,4,3,6,5,6,2,5,7,6,5,6,5
2,2,2,38121,4.5,4.5,3.5,3,3,5.5,6,6.5,5.5,6,4,4,2,3,2,5,5,5,3,4,5,6,7,6,6,6,6,6,5,6
2,2,1,76567,2,3,5,2.5,5,3,4,6,3.5,6,2,3,5,3,5,2,3,5,2,5,3,3,6,3,6,3,5,6,4,6
2,2,2,10389,3,3,1.5,3.5,3,5,5,3,5,4.5,2,3,1,3,2,4,3,2,4,4,5,6,3,6,5,5,4,3,4,4
2,2,1,12857,4,5,5,4,4.5,6,6.5,7,5,6.5,4,5,5,4,4,4,5,5,4,5,6,6,7,4,6,6,7,7,6,7
2,1,3,77988,2.5,2,4.5,3.5,2.5,2.5,4.5,6,5,5,2,2,5,3,1,3,2,4,4,4,3,3,6,5,5,2,6,6,5,5
2,2,2,62907,2,4,4,2.5,2.5,2.5,6,5.5,6.5,4.5,2,4,4,3,2,2,4,4,2,3,3,7,6,6,6,2,5,5,7,3
2,1,3,31324,4,4,4,3.5,4.5,5,6.5,6,6,6,3,4,3,4,4,5,4,5,3,5,6,6,6,6,6,4,7,6,6,6
2,1,2,80761,1.5,2,5,4,5,2.5,4,6.5,7,7,1,2,5,5,5,2,2,5,3,5,3,3,7,7,7,2,5,6,7,7
3,3,2,86723,3,1.5,4,4,4.5,2.5,3.5,6.5,4.5,5,3,2,4,4,4,3,1,4,4,5,2,3,7,3,4,3,4,6,6,6
2,2,2,96343,3,4,4.5,3,3.5,4,5.5,6.5,6,5.5,2,4,4,4,3,4,4,5,2,4,4,5,7,6,6,4,6,6,6,5
2,1,2,29249,4,3,3,2.5,3,5.5,4,4.5,4,5,4,4,2,2,2,4,2,4,3,4,5,3,4,4,5,6,5,5,4,5
2,2,3,56395,4.5,3.5,4,4.5,3.5,6.5,7,6,6.5,6,4,4,4,5,4,5,3,4,4,3,7,7,6,6,6,6,7,6,7,6
2,1,3,49968,5,3,2.5,4,5,6.5,4,5,5.5,5.5,5,4,2,4,5,5,2,3,4,5,7,1,6,5,6,6,7,4,6,5
2,1,2,55298,3.5,2,4,2,3.5,6,4.5,4.5,3,6,2,2,4,2,5,5,2,4,2,2,6,3,5,3,6,6,6,4,3,6
3,3,3,35492,4,3.5,3,3,4.5,6,3,5,4.5,4.5,4,3,3,4,4,4,4,3,2,5,6,2,5,3,5,6,4,5,6,4
3,3,3,99700,3.5,3,4.5,1,3.5,6,6,5,4.5,6,3,4,4,1,2,4,2,5,1,5,6,6,4,5,6,6,6,6,4,6
2,2,2,63536,4.5,4,4.5,4.5,2.5,6.5,4,6,5,5.5,4,4,4,4,2,5,4,5,5,3,7,3,6,6,5,6,5,6,4,6
2,1,2,12105,3,4,5,2.5,5,4.5,7,4.5,6,6.5,2,4,5,3,5,4,4,5,2,5,5,7,5,6,6,4,7,4,6,7
1,1,1,49862,5,4.5,5,4,3,7,7,7,6.5,6.5,5,4,5,4,1,5,5,5,4,5,7,7,7,7,6,7,7,7,6,7
3,2,3,10754,3,4,2.5,2,3.5,4,6,5.5,4.5,6,2,5,1,3,3,4,3,4,1,4,5,7,6,4,7,3,5,5,5,5
2,1,2,24107,4.5,5,5,3.5,3.5,6.5,7,6.5,5.5,6,4,5,5,3,3,5,5,5,4,4,7,7,6,6,6,6,7,7,5,6
3,2,4,43576,4,3,4,1.5,2.5,6,4.5,4.5,1.5,6,4,2,3,1,3,4,4,5,2,2,6,3,5,1,7,6,6,4,2,5
